,Unnamed: 0,type,text
0,0,spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
1,1,ham,Do you still have the grinder?
2,2,ham,No. Yes please. Been swimming?
3,3,ham,No de.am seeing in online shop so that i asked.
4,4,ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
5,5,ham,Hey u still at the gym?
6,6,ham,Where is that one day training:-)
7,7,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
8,8,ham,I dont thnk its a wrong calling between us
9,9,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
10,10,ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. "
11,11,ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
12,12,ham,"Awesome, that gonna be soon or later tonight?"
13,13,ham,What's ur pin?
14,14,ham,", how's things? Just a quick question."
15,15,spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
16,16,ham,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\"""""
17,17,ham,Can. Dunno wat to get 4 her...
18,18,ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
19,19,spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
20,20,ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later."
21,21,ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
22,22,ham,"Vikky, come around  &lt;TIME&gt; .."
23,23,ham,Do you know when dad will be back?
24,24,ham,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks
25,25,ham,Wah... Okie okie... Muz make use of e unlimited... Haha... 
